title,kind,release_date,source,source_url,summary,poster_url,updated_at
Weather Command Weekend,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/92375/weather-command-weekend,Stay up to date inside the Weather Command center with a weekend forecast and real-time alerts.,,2026-06-20T06:44:26+00:00
The Weekend,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/73112/the-weekend,Fresh analysis of the week's biggest events and a rotating crew of major D.C. newsmakers.,https://static.tvmaze.com/uploads/images/medium_portrait/613/1532637.jpg,2026-06-20T06:44:26+00:00
Wake Up America Weekend,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/76932/wake-up-america-weekend,"Start your weekend days with real news and analysis from Michael Grimm, Sarah Williamson and team.",,2026-06-20T06:44:26+00:00
Good Morning America: Weekend Edition,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/18876/good-morning-america-weekend-edition,"GMA Weekend expanded to seven days a week in September 2004, providing up-to-the-minute news, weather and topical features from the familiar set of the weekday program located at the crossroads of the world, Times Square. The show's increased focus on lifestyle, leisure and family-oriented topics are suited for the relaxed pace of the weekend, attracting engaged and loyal GMA viewers as they start their days. Co-anchors Dan Harris and Paula Faris bring great energy and vitality to the morning show. In his 11 years at ABC News, Dan has traveled the globe, reporting from Haiti, Pakistan, Afghanistan, Iraq, Ground Zero, South Korea, Israel and the West Bank. His interests range from international affairs and politics to technology and indie music. Former anchor of ABC's World News Now and America This Morning, Paula delivered unforgettable and colorful accounts from the World Cup. Her popular Real Money reports have shown American families how to save thousands of dollars. As the audience on the weekend continues to grow, GMA is now the #1 morning newscast on Saturdays and regularly beats NBC's Today on Sunday mornings.",https://static.tvmaze.com/uploads/images/medium_portrait/301/754982.jpg,2026-06-20T06:44:26+00:00
CBS Saturday Morning,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/71918/cbs-saturday-morning,"Hosts Jeff Glor, Dana Jacobson and Michelle Miller provide original reporting, breaking news, and profiles of leading figures in culture and the arts from the Times Square studio on the Saturday edition of the CBS morning news family.",https://static.tvmaze.com/uploads/images/medium_portrait/614/1536212.jpg,2026-06-20T06:44:26+00:00
The Weekend View,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/81937/the-weekend-view,"The Weekend View will focus on the biggest stories in entertainment and the buzziest news topping social media feeds. With all-new ""Hot Topics,"" the co-hosts will give their one-of-a-kind takes with their signature candor and humor. Plus, ""The Weekend View"" will include ""Behind the Table"" segments with executive producer Brian Teta and the co-hosts as they dive deeper into pop-culture stories from the week.",https://static.tvmaze.com/uploads/images/medium_portrait/552/1380204.jpg,2026-06-20T06:44:26+00:00
America Right Now,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/76969/america-right-now,"Tom Basile tackles the week's biggest stories with top talkers from politics, Hollywood, and across America.",https://static.tvmaze.com/uploads/images/medium_portrait/519/1298172.jpg,2026-06-20T06:44:26+00:00
We Baby Bears,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/51025/we-baby-bears,"We Baby Bears features the Baby Bears on their search for a place they can settle down and fit into. Each episode transports them into vibrant and colorful worlds, where they befriend legions of familiar fairytale faces. During their nonstop crusade, they are faced with the decision to stay or to continue on their journey for a permanent abode they can call home.",https://static.tvmaze.com/uploads/images/medium_portrait/416/1041406.jpg,2026-06-20T06:44:26+00:00
Smerconish,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/9954/smerconish,"After serving as an MSNBC contributor and guest-host on the network for four years, TV and radio personality Michael Smerconish believed he was ready to head a show of his own. CNN agreed, and thus was born Smerconish , an hour long Saturday morning program that takes after its host's independent views. Using a topical, conversational format, he aims for the TV show to be an extension of his weekday radio broadcast, with free-flowing topics and the ability to discuss issues that strike a chord with the audience. Along the same lines, he thinks it's important to present the content in an engaging manner, free of my-way-or-the-highway ideology. Smerconish, who has a law degree from the University of Pennsylvania, is also a New York Times' best-selling author.",https://static.tvmaze.com/uploads/images/medium_portrait/480/1200346.jpg,2026-06-20T06:44:26+00:00
Connect with Jacob Soboroff,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/91899/connect-with-jacob-soboroff,"Connect with Jacob Soboroff will be the network's first Los Angeles-based program. Built around the connection Soboroff has forged with the MS NOW audience for more than a decade, Connect will bring viewers closer to the stories shaping the country. Connect will also bring Soboroff's storied reporting from the ground in Los Angeles and beyond to help connect the dots between what's happening in local communities throughout the country and larger national conversations driving politics, culture, and daily life.",https://static.tvmaze.com/uploads/images/medium_portrait/627/1569957.jpg,2026-06-20T06:44:26+00:00
Zombie House Flipping,series,2026-06-20,TVMaze US,https://www.tvmaze.com/shows/11888/zombie-house-flipping,"When a house has been left for dead, the Zombie House Flippers bring it back to life and into beautifully remade shape for top dollar. These flippers show the inner workings of this high-stakes world full of unexpected disasters, hidden costs, and quirky personalities. With tight budgets and short timelines, it's a mad scramble to finish these flips and make bank for the team.",https://static.tvmaze.com/uploads/images/medium_portrait/544/1361329.jpg,2026-06-20T06:44:26+00:00
